,precision,recall,f1-score,support,,,max_length,epoch,batch_size,lr
1,0.9977606668550438,0.9905672286587932,0.9941509354280164,142588,,,35,5,63,5e-5
2,0.9732706514439221,0.9889449979527773,0.9810452206877877,7327,,,,,,
3,0.9688877019628789,0.9903098130203357,0.9794816414686826,7327,,,,,,
4,0.9696485623003195,0.9859231185706551,0.9777181208053691,1847,,,,,,
5,0.8914285714285715,0.8402154398563735,0.8650646950092421,557,,,,,,
6,0.9425218176346675,0.9815104982764024,0.9616211237334971,3191,,,,,,
7,0.9700854700854701,0.9857320099255583,0.9778461538461538,1612,,,,,,
8,0.963481436396835,0.9820099255583127,0.9726574500768049,1612,,,,,,
9,0.9454181271907862,0.9731958762886598,0.9591059182118364,1940,,,,,,
10,0.7100737100737101,0.8731117824773413,0.7831978319783198,331,,,,,,
11,0.656934306569343,0.7692307692307693,0.7086614173228346,117,,,,,,
12,0.7741935483870968,0.9425981873111783,0.8501362397820164,331,,,,,,
13,0.8456090651558074,0.8870728083209509,0.8658448150833937,673,,,,,,
14,0.6878980891719745,0.8537549407114624,0.7619047619047619,253,,,,,,
15,0.8635976129582268,0.9511737089201878,0.9052725647899911,1065,,,,,,
16,0.90748031496063,0.9829424307036247,0.9437052200614124,469,,,,,,
17,0.8827106863596872,0.9539906103286385,0.9169675090252708,1065,,,,,,
18,0.7980295566502463,0.8571428571428571,0.826530612244898,189,,,,,,
19,0.7767441860465116,0.8835978835978836,0.8267326732673267,189,,,,,,
20,1,0.625,0.7692307692307693,40,,,,,,
21,0.9285714285714286,0.65,0.7647058823529411,40,,,,,,
22,0.9333333333333333,0.9824561403508771,0.9572649572649573,57,,,,,,
23,1,0.8571428571428571,0.9230769230769231,21,,,,,,
24,1,0.6,0.75,10,,,,,,
25,0,0,0,1,,,,,,
accuracy,0.987434336889362,0.987434336889362,0.987434336889362,0.987434336889362,,,,,,
macro avg,0.8555071537414597,0.8555049553738598,0.8488769374661282,172852,,,,,,
weighted avg,0.9881323650562158,0.987434336889362,0.9876509927652263,172852,,,,,,
